num_of_intervals,total_time,target_state_seed,init_seed,final_cost
2,9.0,3,6,-0.9059391245760136
2,9.0,3,8,-0.0324379387618676
2,9.0,9,7,-0.9680130582605946
2,9.0,9,5,-0.0290902764772119
2,9.0,9,2,-0.2857393280967807
2,9.0,9,9,-0.9330450244638804
2,9.0,9,0,-0.785527519214455
2,9.0,9,1,-0.9576186793835904
2,9.0,9,3,-0.817060084521345
2,9.0,9,4,-0.9975412067834938
2,9.0,9,6,-0.619810681715591
2,9.0,9,8,-0.4316406716540305
2,9.0,1,7,-0.9940265302911157
2,9.0,1,5,-0.9531538421947816
2,9.0,1,2,-0.9916314467595806
2,9.0,1,9,-0.2698323064905101
2,9.0,1,0,-0.979378915779649
2,9.0,1,1,-0.9953287383000168
2,9.0,1,3,-0.9451769621505204
2,9.0,1,4,-0.9880616016701512
2,9.0,1,6,-0.9986640625851874
2,9.0,1,8,-0.800339694043716
2,9.0,2,7,-0.9048550488149256
2,9.0,2,5,-0.9625673352723
2,9.0,2,2,-0.9045047607723516
2,9.0,2,9,-0.5320543258406988
2,9.0,2,0,-0.8830180055288157
2,9.0,2,1,-0.9970536347997508
2,9.0,2,3,-0.7647259002543463
2,9.0,2,4,-0.9048093467577726
2,9.0,2,6,-0.8830180055288157
2,9.0,2,8,-0.9411810884308552
2,9.0,5,7,-0.7986407051434531
2,9.0,5,5,-0.8081143353196847
2,9.0,5,2,-0.6744937104308759
2,9.0,5,9,-0.4502104836018704
2,9.0,5,0,-0.2684545198913397
2,9.0,5,1,-0.9997768531607616
2,9.0,5,3,-0.6704586943955964
2,9.0,5,4,-0.5148496807052005
2,9.0,5,6,-0.8295161075019319
2,9.0,5,8,-0.9996430921883364
2,9.0,8,7,-0.9445497082363626
2,9.0,8,5,-0.4282675164621202
2,9.0,8,2,-0.2697984322042624
2,9.0,8,9,-0.8115518425785461
2,9.0,8,0,-0.9166187138137756
2,9.0,8,1,-0.9424245898421776
2,9.0,8,3,-0.9357717582876476
2,9.0,8,4,-0.541041422620822
2,9.0,8,6,-0.6903533294466757
2,9.0,8,8,-0.9594249306293852
2,6.0,4,7,-0.8996514118358527
2,6.0,4,5,-0.9003872572057957
2,6.0,4,2,-0.9377203784608754
2,6.0,4,9,-0.9181478722750488
2,6.0,4,0,-0.9394938064740654
2,6.0,4,1,-0.8889964498041689
2,6.0,4,3,-0.9335086029157336
2,6.0,4,4,-0.8970613836043817
2,6.0,4,6,-0.9396542857293884
2,6.0,4,8,-0.8304439532543035
2,6.0,6,7,-0.7103706543781686
2,6.0,6,5,-0.6029494939092465
2,6.0,6,2,-0.8001360935408239
2,6.0,6,9,-0.7356773052625257
2,6.0,6,0,-0.8246975343761485
2,6.0,6,1,-0.7078993354904406
2,6.0,6,3,-0.7932511812610892
2,6.0,6,4,-0.7914579651715528
2,6.0,6,6,-0.8248955710843501
2,6.0,6,8,-0.6561699391774738
2,6.0,0,7,-0.9390535354917452
2,6.0,0,5,-0.9401370862298538
2,6.0,0,2,-0.9831653467563508
2,6.0,0,9,-0.952160514589172
2,6.0,0,0,-0.980486249134162
2,6.0,0,1,-0.938144883261747
2,6.0,0,3,-0.97795371576401
2,6.0,0,4,-0.9741053894614268
2,6.0,0,6,-0.986503360346736
2,6.0,0,8,-0.9075987683508862
2,6.0,7,7,-0.1112840737672481
2,6.0,7,5,-0.1112840741980463
2,6.0,7,2,-0.1698044521317264
2,6.0,7,9,-0.0863037784193454
2,6.0,7,0,-0.1670440758760533
2,6.0,7,1,-0.0890031454086082
2,6.0,7,3,-0.1585354518119748
2,6.0,7,4,-0.1690626713280081
2,6.0,7,6,-0.1690048923746526
2,6.0,7,8,-0.0460325381334854
2,6.0,3,7,-0.372017836118605
2,6.0,3,5,-0.5197543638384318
2,6.0,3,2,-0.4260957834353451
2,6.0,3,9,-0.3872975077504592
2,6.0,3,0,-0.3607465242448289
2,6.0,3,1,-0.4638241763874145
2,6.0,3,3,-0.5117798810803833
2,6.0,3,4,-0.3597073427202903
2,6.0,3,6,-0.410244145668005
2,6.0,3,8,-0.4598939693656453
2,6.0,9,7,-0.8601959286637114
2,6.0,9,5,-0.9481515879568077
2,6.0,9,2,-0.8909853697947973
2,6.0,9,9,-0.9175537754433148
2,6.0,9,0,-0.8551353797705121
2,6.0,9,1,-0.9083553678296348
2,6.0,9,3,-0.8882459746385852
2,6.0,9,4,-0.9112231842813928
2,6.0,9,6,-0.927463824424658
2,6.0,9,8,-0.9169410020622208
2,6.0,1,7,-0.1427293703773774
2,6.0,1,5,-0.1761348965096361
2,6.0,1,2,-0.1817992093863229
2,6.0,1,9,-0.1831215810164093
2,6.0,1,0,-0.1165773768367035
2,6.0,1,1,-0.0930142368967527
2,6.0,1,3,-0.1817992093863229
2,6.0,1,4,-0.0806989012237499
2,6.0,1,6,-0.1008272956817633
2,6.0,1,8,-0.1831215810164093
2,6.0,2,7,-0.0869791182060707
2,6.0,2,5,-0.0868338322918795
2,6.0,2,2,-0.0966678035413032
2,6.0,2,9,-0.0981905464358682
2,6.0,2,0,-0.0937328912150094
2,6.0,2,1,-0.0421540815933259
2,6.0,2,3,-0.0998516833597351
2,6.0,2,4,-0.0397839665230919
2,6.0,2,6,-0.0948591239164183
2,6.0,2,8,-0.0800736498246155
2,6.0,5,7,-0.331997086802358
2,6.0,5,5,-0.2845590870048006
2,6.0,5,2,-0.3398687622470732
2,6.0,5,9,-0.3434935061784647
2,6.0,5,0,-0.366109172653071
