num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
10.0,1.0,1.0,2.0,4.0,6.0,-0.3650094956970024
10.0,1.0,1.0,2.0,5.0,6.0,-0.361388408389854
10.0,1.0,1.0,2.0,6.0,6.0,-0.3673824427944049
10.0,1.0,1.0,2.0,7.0,6.0,-0.3537967615882372
10.0,1.0,1.0,2.0,8.0,6.0,-0.363377805908907
10.0,1.0,1.0,2.0,9.0,6.0,-0.3624794607012635
10.0,1.0,1.0,2.0,0.0,7.0,-0.6089371612661724
10.0,1.0,1.0,2.0,1.0,7.0,-0.6183484698126
10.0,1.0,1.0,2.0,2.0,7.0,-0.5266352217063506
10.0,1.0,1.0,2.0,3.0,7.0,-0.525773353087414
10.0,1.0,1.0,2.0,4.0,7.0,-0.6202462658385614
10.0,1.0,1.0,2.0,5.0,7.0,-0.5749154995139081
10.0,1.0,1.0,2.0,6.0,7.0,-0.6607327146925874
10.0,1.0,1.0,2.0,7.0,7.0,-0.6654070979953006
10.0,1.0,1.0,2.0,8.0,7.0,-0.664018533252639
10.0,1.0,1.0,2.0,9.0,7.0,-0.6640237770634478
10.0,1.0,1.0,2.0,0.0,8.0,-0.7117168539267198
10.0,1.0,1.0,2.0,1.0,8.0,-0.7535968145531445
10.0,1.0,1.0,2.0,2.0,8.0,-0.6758709368326622
10.0,1.0,1.0,2.0,3.0,8.0,-0.6548582309245616
10.0,1.0,1.0,2.0,4.0,8.0,-0.7456936990937822
10.0,1.0,1.0,2.0,5.0,8.0,-0.7232400337963258
10.0,1.0,1.0,2.0,6.0,8.0,-0.8135705003703141
10.0,1.0,1.0,2.0,7.0,8.0,-0.738538588094068
10.0,1.0,1.0,2.0,8.0,8.0,-0.8086977451299786
10.0,1.0,1.0,2.0,9.0,8.0,-0.808185214853009
10.0,1.0,1.0,2.0,0.0,9.0,-0.47186178844517973
10.0,1.0,1.0,2.0,1.0,9.0,-0.3603537886145926
10.0,1.0,1.0,2.0,2.0,9.0,-0.47193313178238167
